VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab17 - Yeah 1,VTVCab2 - PhimViet,VTVCab6 - HayTV,VTVCab7 - D Dramas,VTVCab8 - BiBi,VTVLive
04:10 - Khám phá thế giới - Những thiên đường cuối cùng - Tập 5,05:15 - Phổ biến kiến thức - Ngành BHXH nâng cao chất lượng phục vụ,07:00 - Cà phê sáng -  ,"03:30 - Cuộc sống vẫn tươi đẹp - Ăn cơm năm mới, nói chuyện năm cũ",05:15 - Khám phá Việt Nam -  ,05:30 - Chương trình tiếng Khmer -  ,06:00 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,10:00 - Trường học VTV7 (Mầm non) - Lớp học cầu vòng - Số 2: Vũ trụ,08:45 - Ngôi nhà tôi yêu - Họp mặt cùng thiên nhiên,04:30 - Bí quyết phong cách -  ,06:55 - Nuôi dưỡng tâm hồn - Tập 114,05:30 - Bé làm người lớn - Số 6,09:00 - Phim truyện - NỢ ân tình - Tập 10,10:00 - Tình yêu Chocolate - Tập 04,10:00 - Phim truyện - Liêu trai 4 - Tập 3,10:30 - Phim hoạt hình - Lũ trẻ tinh nghịch - Tập 20,06:10 - Du lịch và ẩm thực - Thạnh An - Bình yên xã đảo
05:10 - Cảm ơn cuộc đời -  ,05:30 - Thức cùng ban mai -  ,07:55 - Mỗi ngày một niềm vui -  ,04:00 - Giai điệu cuộc sống - Xuân xứ Huế,05:30 - Chương trình tiếng Mông -  ,07:35 - Thông tin nông nghiệp -  ,06:30 - Phim hoạt hình - Chú sóc vui nhộn - Tập 45,10:30 - Trường học VTV7 (Trung học) - Chuyện trường tôi - Số 9; Con đường nghề nghiệp - Số 12,09:00 - Bản tin -  ,"04:40 - Món ngon Phương Nam - Bún tôm, bún rạm Phù Mỹ",07:00 - Trái tim trong sáng - Tập 73,06:00 - Chuyện gia đình vàng - Số 15,10:00 - Phim truyện - Kẻ thù phụ nữ - Tập 14,11:00 - Chân tình bốn phương - Tập 69 - 70,10:50 - Thông tin tiêu dùng D-Dramas -  ,11:00 - Phim hoạt hình - Câu lạc bộ sáng tạo - Tập 10,06:35 - Thức dậy cùng VTV7 - Thức dậy cùng VTV7 - 30/7/2017
05:25 - Chào buổi sáng -  ,05:55 - Vui khỏe 24/7 - Sử dụng hàn the trong gói giò - Hậu quả khôn lường,07:58 - Thời tiết -  ,04:15 - Ký sự - Huyền sử Ô Lâu - Tập 9,06:00 - Chương trình tiếng Dao -  ,07:40 - Ca nhạc - Gợi nhớ quê hương,07:00 - Thể thao - Tạp chí cầu lông thế giới,11:00 - Học cùng con - Số 8,09:15 - Phim truyện - Bà xã tôi là robot - Tập 123,05:00 - Ca nhạc - Hình bóng quê hương,08:00 - Trái tim trong sáng - Tập 74,06:15 - Bật mí bí mật - Số 16,11:00 - Phim truyện - Yêu trong thù hận - Tập 10,13:00 - Đội đặc nhiệm CID - Tập 35,11:00 - Phim truyện - Cứ lạ đi em ! - Tập 10,11:30 - Phim hoạt hình - Những người bạn thông thái - Tập 62,07:30 - Gặp nhau để cười - Thắp lửa
06:58 - V - Việt Nam - Chợ Tết Hà Nội,06:00 - Bạn của nhà nông -  ,08:00 - Xả xì chét - Giúp đỡ người yêu,04:30 - Atlas Miền Trung - Atlas Miền Trung - Tập 9: Lý Sơn- Miền biển đảo,06:30 - Chương trình tiếng Hoa -  ,08:10 - Trang văn hóa -  ,07:30 - Truyền hình trực tiếp - Olympic Pyeongchang 2018,11:15 - Ideo - Số 7,10:00 - Đối thoại - Chăm lo Tết cho đồng bào vùng thiên tai,05:30 - Chào buổi sáng Bông lúa -  ,08:50 - Thông tin tiêu dùng Giải Trí -  ,06:30 - Đò dọc - Số 05,12:00 - Phim truyện - Nhịp sinh tử - Tập 42,14:00 - Phim sitcom - Nè biết gì chưa - Tập 97,12:00 - Phim truyện - Quả báo - Tập 5,12:00 - Phim hoạt hình - Thế giới của Zou - Tập 21,07:40 - SV 2016 - SV 2016 - 28/8/2016
07:00 - Tài chính - Kinh doanh -  ,06:30 - Nhà nông vui vẻ -  ,08:10 - Biển đảo quê hương - Tết ngư dân ven biển Gio Hải,05:00 - Phim truyện - Thảm đỏ - Tập 6,07:00 - Chương trình tiếng Cao Lan -  ,"08:30 - Phim hoạt hình - Hoàng tử Farhat và viên pha lê bò cạp - Tập 25, 26",11:30 - Nào cùng phong cách - Số 84,11:30 - Toán học diệu kỳ - Số 7,10:50 - Văn học - Nghệ thuật - Người giữ bóng xưa,06:00 - Bay bổng Phương Nam - Quê dừa,08:55 - Nuôi dưỡng tâm hồn - Tập 114,07:30 - Acoustic live - Số 15,13:00 - Phim truyện - Săn vàng - Tập 25,14:30 - Hồn Việt - Tập 12,13:00 - Phim truyện - Nàng vali và chàng sơ mi - Tập 22,12:30 - Ngôi sao Bibi - Số 10,08:30 - Quà tặng cuộc sống - Câu chuyện về những đứa trẻ
07:25 - Nói không với thực phẩm bẩn -  ,06:45 - Sống khỏe mỗi ngày - Phòng và điều trị bệnh cúm mùa,08:15 - Rubic 8 - Tin Rubic,05:45 - Thời tiết du lịch -  ,07:30 - Khám phá thế giới - Những phát minh thiên tài - Tập 3,09:00 - Sân khấu hài - Rể quý đầu Xuân,11:55 - Thời tiết -  ,11:45 - Cùng tỏa sáng - Số 7,11:20 - Phim Sitcom - Chuyện của bà Hóng: Oan gia ngõ hẹp,06:15 - Sáng Phương Nam -  ,09:00 - Sau ánh hào quang - Tập 10 p1,08:30 - Mv mới - Mv,14:00 - Phim truyện - Hot girl làm vợ - Tập 22,15:00 - Tình yêu Chocolate - Tập 04,14:00 - Phim truyện - Mặt nạ công tố viên - Tập 19,13:00 - Phim hoạt hình - Những chuyến phiêu lưu ở vùng đất vỏ sò - Tập 39,08:35 - Học viện danh hài - Học viện danh hài - Phần 1 - 13/10/2016
07:30 - Phim tài liệu - Vui hội Gầu Tào,07:10 - Phát triển bền vững - Nhiên liệu xanh cho cuộc sống,08:30 - Khám phá thế giới - Nghệ sĩ đàn tranh Phương Bảo,05:50 - Từ những miền quê - Chuyện người trồng dưa tí hon ở Đà Lạt,08:30 - Bạn nhà nông - Chống rét cho đào,09:20 - Phim tài liệu - Điệu xòe mùa Xuân,12:00 - Bữa trưa vui vẻ -  ,12:00 - Phim hoạt hình - Tayo xe buýt bé nhỏ - Tập 14,11:30 - Bản tin -  ,07:00 - Ca nhạc - Lời trái tim hát,09:25 - Thông tin tiêu dùng Giải Trí -  ,08:35 - Khám phá biển đảo - Số 56,15:00 - Phim truyện - NỢ ân tình - Tập 11,16:00 - Chân tình bốn phương - Tập 69 - 70,15:00 - Phim truyện - Giọt lệ cứu mạng - Tập 12,13:30 - Phim hoạt hình - Cô bé bướng bỉnh - Tập 23,09:25 - Học tiếng Anh qua bài hát - Girl on fire
08:00 - Diễn đàn Văn học nghệ thuật - Số 3: Tinh giản biên chế ngành sân khấu,07:30 - Khám phá thế giới - Sức mạnh kỳ diệu của con người - Phần 5,09:00 - Phim truyện - Cuộc chiến gia tộc - Tập 315,06:00 - Người Việt bốn phương -  ,09:00 - Vui sống mỗi ngày -  ,09:50 - Sản vật phương Nam - Sô cô la miền Tây,13:00 - Thể thao - Những nẻo đường World Cup,12:15 - Phim hoạt hình - Chú rô bốt của tôi - Tập 14,12:00 - Phim Việt Nam - Ba ơi! Mẹ có về không? - Tập 31,07:20 - Về đất Phương Nam - Thăm miệt cồn chợ quê,09:30 - Sau ánh hào quang - Tập 10 p2,09:00 - Yeah1 on stage - Số 01,16:00 - Phim truyện - Kẻ thù phụ nữ - Tập 15,18:00 - Đội đặc nhiệm CID - Tập 36,16:00 - Phim truyện - Nàng vali và chàng sơ mi - Tập 23,14:00 - Phim hoạt hình - Những người bạn thông thái - Tập 63,09:40 - Du lịch và ẩm thực - Thạnh An - Bình yên xã đảo
08:45 - Tuổi cao gương sáng - Chăm lo tết cho người cao tuổi nghèo,08:00 - Những mảnh ghép của cuộc sống - Văn minh vật chất của người Việt - Tập 1,09:20 - Cuộc chiến mỹ vị - Tập 6,06:15 - Vui sống mỗi ngày -  ,09:45 - Tiểu phẩm hài - Ngũ long công chúa,10:10 - Phóng sự - Làn gió mới cho nông nghiệp đồng bằng,13:30 - Chuyến đi màu xanh - Tết Mậu Tuất,12:30 - Lăng kính tự nhiên - Số 9,12:50 - Alo8!8!8! -  ,07:40 - Phim tài liệu - Những bông hồng lửa,10:00 - Biết yêu em rồi - Tập 6,10:00 - Câu chuyện mẹ tôi - Số 48,17:00 - Phim truyện - Yêu trong thù hận - Tập 11,19:00 - Tình yêu Chocolate - Tập 05,17:00 - Phim truyện - Cứ lạ đi em ! - Tập 11,14:30 - Phim hoạt hình - Câu lạc bộ sáng tạo - Tập 11,10:05 - Trường học VTV7 - Trường học VTV7 (Trung học) - 25/7/2017
09:00 - Thời sự 9h -  ,08:30 - KHGD Quốc phòng -  ,10:10 - Chúng tôi là chiến sĩ -  ,07:00 - Cà phê sáng -  ,10:00 - VTV5 kết nối -  ,"10:30 - Phim truyện - Zippo, mù tạt và em - Tập 8",14:00 - Truyền hình trực tiếp - Olympic Pyeongchang 2018,12:45 - Điều kỳ diệu của khoa học - Số 9,13:00 - Phim truyện - Chung một mái nhà - Tập 28,08:10 - Canh tác bền vững -  ,10:55 - Thông tin tiêu dùng Giải Trí -  ,11:00 - Bạn muốn hẹn hò - Số 57,18:00 - Phim truyện - Nhịp sinh tử - Tập 43,20:00 - Chân tình bốn phương - Tập 71 - 72,18:00 - Phim truyện - Giọt lệ cứu mạng - Tập 13,"15:00 - Phim hoạt hình - Bob, chàng thợ xây chăm chỉ - Tập 2",10:30 - Ghế không tựa - MC Đan Lê
09:15 - Phim tài liệu - Đường tới trường “Khanh”,09:00 - Hành trình khám phá - Khám phá Tĩnh Gia,11:00 - Sắc màu phái đẹp - Tập 22,08:00 - Bản tin tiếng Anh -  ,10:10 - Sắc màu các dân tộc -  ,11:15 - Góc thư giãn - Ngũ long công chúa - Tập 155,18:00 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,13:00 - Bong bóng và 7 câu hỏi địa lý - Số 10,13:45 - Phim tài liệu - Hoàng đế Quang Trung - Bước ra từ lịch sử - Tập 1,"08:20 - Tôi người Việt Nam - ""Kỳ lân nữ"" - Lê Yến Quyên",11:00 - Người chồng hai mặt - Tập 25,11:30 - Hoa thiên cốt - Số 50,19:00 - Phim truyện - Săn vàng - Tập 26,22:00 - Đội đặc nhiệm CID - Tập 36,19:00 - Phim truyện - Liêu trai 4 - Tập 5,15:30 - Phim hoạt hình - Thuyền trưởng Flinn và đội quận hải tặc - Tập 3,11:00 - Cầu thủ nhí - Cầu thủ nhí – Tập 8
09:30 - Sắc màu các dân tộc - Sắc màu phiên chợ vùng cao - Phần 2,09:15 - VTV kết nối -  ,11:10 - Thông tin 260 -  ,08:30 - Vietnam Discovery - Sắc màu văn hóa người Dao ở Hoành Bồ,10:30 - Phim truyện - Ngự lâm không kiếm - Tập 8,11:30 - Bản tin thời sự -  ,18:30 - Bản tin thế hệ số -  ,13:15 - Math Dorm - Số 6,14:20 - Khám phá Việt Nam - Nghề đúc lư đồng ở An Hội,08:40 - Hòa điệu đất Chín Rồng - Tận trung báo quốc,12:00 - Dấu thập vàng - Tập 22,12:30 - Mặt nạ hoa hồng - Số 52,20:00 - Phim truyện - Hai lúa phiêu lưu - Tập 1,23:00 - Ca nhạc - VZ Playlist - Tập 99,20:00 - Phim truyện - Cứ lạ đi em ! - Tập 12,16:00 - Nhảy cùng BiBi - Số 7,11:45 - Phim truyện - Sống chung với mẹ chồng – Tập 26
10:00 - Tài chính - Tiêu dùng -  ,09:30 - Khám phá thế giới - Máy bay,11:20 - Phụ nữ là số 1 - Người nhiều tiền,09:00 - Kết nối thể thao tuần -  ,"11:15 - Phim hoạt hình - Wizard Mutterl - Pháp sư giấu mặt - Tập 17, 18",11:50 - Thông tin nông nghiệp -  ,18:55 - Thời tiết -  ,13:30 - Tiếng Anh THCS - Số 30,14:35 - Tư vấn sức khỏe - Phòng bệnh ngày Tết,10:10 - Làng cười cười cả làng -  ,12:55 - Thông tin tiêu dùng Giải Trí -  ,13:30 - Mặt nạ thủy tinh - Số 24,21:00 - Phim truyện - Hai lúa phiêu lưu - Tập 2,,21:00 - Phim truyện - Nàng vali và chàng sơ mi - Tập 24,16:30 - Phim hoạt hình - Lũ trẻ tinh nghịch - Tập 21,12:35 - S-Vietnam - Parkour bước nhảy đường phố
10:25 - Sự kiện và bình luận - Quà quê hay phong bì,10:15 - Đẹp 24/7 - Trang sức Valentine,11:30 - Phim truyện - Cuộc chiến gia tộc - Tập 316,09:30 - Sinh ra từ làng - Nguyễn Tiến Thắng - Bảo tồn và phục tráng giống gà Đông Tảo,11:45 - Thời sự -  ,"12:00 - Phim truyện - Di sản thừa kế - Tập 77, 78",19:00 - Phim truyện - Ngự lâm không kiếm - Tập 6,14:30 - Trường học VTV7 (Trung học) - Chuyện trường tôi - Số 9; Con đường nghề nghiệp - Số 12,15:25 - Khát vọng Việt Nam - Nguyễn Hướng Dương - Truyền niềm tin cho người khuyết tật,10:25 - Cây thuốc quý quanh ta -  ,13:00 - Hai người mẹ - Tập 41,14:30 - Mv mới -  ,22:00 - Phim truyện - Kẻ thù phụ nữ - Tập 16,,22:00 - Phim truyện - Mặt nạ công tố viên - Tập 20,17:00 - Phim hoạt hình - Biệt đội siêu khủng long - Tập 2,12:40 - Phim tài liệu - Giải cứu người di cư trên Địa Trung Hải
10:55 - Cùng em đến trường - Đông ấm cho em,10:25 - Bạn của nhà nông - Phòng chống sâu bệnh cho rau mầu vụ đông xuân,12:00 - Phim truyện - Bố là tất cả - Tập 17,10:00 - Sắc màu các dân tộc - Vùng đất của những lễ hội,11:55 - Bản tin thể thao -  ,13:30 - Chương trình tiếng Khmer -  ,19:45 - Bản tin thế hệ số -  ,15:00 - Trường học VTV7 (Tiểu học) - Cuốn sách của em - Số 6: Bộ sách Cerdic; 5 từ mới tiếng Anh mỗi ngày - Số 5: Gia vị,15:40 - VTV kết nối -  ,10:45 - Phóng sự - Cảnh giác nạn trộm cắp những ngày Tết,13:55 - Nuôi dưỡng tâm hồn - Tập 114,14:35 - Gia đình tài tử - Số 56,23:00 - Phim truyện - Yêu trong thù hận - Tập 12,,23:00 - Phim truyện - Giọt lệ cứu mạng - Tập 13,17:15 - Phim hoạt hình - Siêu xe biến hình - Tập 2,13:30 - SV 2016 - SV 2016 - 28/8/2016
11:00 - Thời sự 11h -  ,10:50 - Phóng sự - Nông sản một năm vượt khó,12:50 - Vui sống mỗi ngày -  ,10:25 - Trong sáng cùng tiếng Việt -  ,"12:00 - Phim truyện - Di sản thừa kế - Tập 77, 78",18:30 - Kết nối miền Tây -  ,20:00 - Phim truyện - Đám cưới bạn thân,15:30 - Trường học VTV7 (Mầm non) - Lớp học cầu vòng - Số 2: Vũ trụ,15:45 - Quốc phòng toàn dân -  ,11:00 - Phim ngắn Việt Nam - Nhà nàng ở cạnh nhà tôi,14:00 - Dối tình - Tập 20,15:00 - Acoustic live - Số 15,,,,17:30 - Phim hoạt hình - Chú chó cứu hộ - Phần 2 - Tập 26,14:20 - Nhà cười - Nhà cười - 02/3/2017
11:15 - Chuyển động 24h -  ,11:05 - Nhịp sống Công nghệ -  ,13:45 - Phim truyện - Cầu vồng tình yêu - Tập 12,10:30 - Phim truyện - Nữ cảnh sát tập sự - Tập 39,13:30 - Chương trình tiếng Mông -  ,18:55 - Bản tin thể thao -  ,21:30 - Chúng ta là một gia đình -  ,16:00 - Chinh phục kỳ thi 2016 - Số 16,16:00 - Bản tin -  ,11:15 - Mỗi ngày mỗi chuyện -  ,14:50 - Thông tin tiêu dùng Giải Trí -  ,16:00 - Bé làm người lớn - Số 6,,,,"18:00 - Phim hoạt hình - Bob, chàng thợ xây chăm chỉ - Tập 3",15:20 - Học viện danh hài - Học viện danh hài - 13/10/2016
12:00 - Thời sự 12h -  ,11:22 - Vui khỏe 24/7 - Ăn nội tạng động vật có ảnh hưởng đến sức khỏe?,14:35 - Hào khí ngàn năm - Tết Trừ tịch,11:15 - Tinh hoa nghề Việt - Bánh chưng đen xứ Mường,14:00 - Chương trình tiếng Dao -  ,"19:00 - Phim truyện - Thằng trớt quớt - Tập 1, 2",22:00 - 360 độ thể thao -  ,17:00 - Crack'em up - Số 3,16:15 - Phim tài liệu - Câu chuyện tình yêu,11:30 - Tin tức -  ,15:00 - Biết yêu em rồi - Tập 6,16:30 - Chuyện gia đình vàng - Số 15,,,,18:30 - Phim hoạt hình - Thuyền trưởng Flinn và đội quận hải tặc - Tập 4,16:10 - Gặp nhau để cười - Thắp lửa
12:40 - Tài chính - Kinh doanh -  ,11:30 - Phim truyện - Tình yêu rắc rối - Tập 8,14:40 - Vương miện thần kỳ -  ,11:30 - Giai điệu cuộc sống - Mai vàng trước ngõ,14:30 - Chương trình tiếng Sán Chí -  ,20:30 - Góc thư giãn - Ngũ long công chúa - Tập 155,22:30 - Bản tin thế hệ số -  ,17:30 - Ú òa - Số 4,16:40 - Phóng sự - Sức sống mới từ các bản làng vùng cao,11:50 - Cơm ấm nhà mình -  ,15:40 - Thông tin tiêu dùng Giải Trí -  ,16:45 - Bật mí bí mật - Số 16,,,,19:00 - Phim hoạt hình - Những chuyến phiêu lưu ở vùng đất vỏ sò - Tập 41,16:20 - Muôn màu Showbiz - Muôn màu Showbiz - 23/7/2017
13:00 - Hành trình 24h -  ,12:15 - Sống khỏe mỗi ngày - Đau nhức cổ tay,15:30 - Thần tượng BOLERO - Số 3,12:00 - Bản tin tiếng Việt 12h -  ,"15:00 - Phim hoạt hình - 12 con giáp - Tập 87, 88",20:50 - Phóng sự - Hương rượu miệt vườn,23:00 - Nhật ký Olympic Pyeongchang 2018 -  ,17:45 - Bộ đội vui nhộn - Số 4,17:00 - Phim truyện - Tiên nữ giáng trần - Tập 15,12:00 - Phim truyện - Bước tới hạnh phúc - Tập 34,15:45 - Sao thế giới - Tập 136,16:55 - Mv mới - Mv,,,,19:30 - Phim hoạt hình - Cô bé bướng bỉnh - Tập 25,17:05 - Nấu nướng thật là vui - Sinh tố dâu tây socola
