VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab17 - Yeah 1,VTVCab2 - PhimViet,VTVCab6 - HayTV,VTVCab7 - D Dramas,VTVLive
04:10 - Khám phá thế giới - Thế giới võ thuật - Tập 13: Môn vật truyền thống Kushti và Kabaddi của Ấn Độ,05:10 - Phổ biến kiến thức - Nâng cao năng suất chất lượng hàng hóa Việt Nam,07:00 - Cà phê sáng -  ,03:30 - Cuộc sống vẫn tươi đẹp - Tiếng nói của tôi,05:00 - Khám phá Việt Nam -  ,05:15 - Khám phá Việt Nam -  ,06:00 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,10:00 - Trường học VTV7 (Mầm non) - Lớp học cầu vòng - Số 2: Rừng xanh,08:45 - Ngôi nhà tôi yêu - KTS Duy Hòa - Chốn bình yên,04:30 - Bí quyết phong cách -  ,06:55 - Nuôi dưỡng tâm hồn - Tập 100,04:30 - Ca nhạc - Siêu thị âm nhạc số 120,09:00 - Phim truyện - Hoàng hôn dịu dàng - Tập 48,10:00 - Định luật tình yêu - Tập 21,10:00 - Phim truyện - Tình trong biển hận - Tập 51,06:10 - Du lịch và ẩm thực - Thạnh An - Bình yên xã đảo
05:10 - Cảm ơn cuộc đời - Phía trước là màu xanh,05:30 - Thức cùng ban mai -  ,07:55 - Mỗi ngày một niềm vui -  ,04:00 - Giai điệu cuộc sống - Quà tặng trái tim,05:30 - Chương trình tiếng Mông -  ,05:30 - Chương trình tiếng Khmer -  ,06:30 - Phim hoạt hình - Chú sóc vui nhộn - Tập 40,10:30 - Trường học VTV7 (Trung học) - Follow us - Số 16: Trends; Con đường nghề nghiệp - Số 6: Wedding planner,09:00 - Bản tin -  ,04:40 - Món ngon Phương Nam -  ,07:00 - Trái tim trong sáng - Tập 45,05:30 - Gameshow - Bé làm người lớn số 10,10:00 - Phim truyện - Nhà trọ có 4 cô chiêu - Tập 39,11:00 - Chân tình bốn phương - Tập 41 - 42,10:50 - Thông tin tiêu dùng D-Dramas -  ,06:35 - Thức dậy cùng VTV7 - Thức dậy cùng VTV7 - 30/7/2017
05:25 - Chào buổi sáng -  ,05:55 - Vui khỏe 24/7 - Hút thuốc lá ảnh hưởng đến sức khỏe thế nào?,07:58 - Thời tiết -  ,04:15 - Ký sự - Văn hóa Hạ Long,06:00 - Chương trình tiếng Dao -  ,07:35 - Thông tin nông nghiệp -  ,07:00 - Thể thao - Vòng chung kết giải bóng đá vô địch U23 Châu Á: U23 Hàn Quốc - U23 Việt Nam,11:00 - Trường teen - Số 8: Khách du lịch,09:15 - Phim truyện - Bà xã tôi là robot - Tập 113,05:00 - Ca nhạc - Yêu thương và chờ đợi,08:00 - Trái tim trong sáng - Tập 46,06:00 - Filler show - Chuyện gia đình vàng số 19,11:00 - Phim truyện - Hãy nói về tình yêu - Tập 32,13:00 - Đội đặc nhiệm CID - Tập 21,11:00 - Phim truyện - Khi mẹ ra tay - Tập 18,07:30 - Gặp nhau để cười - Thắp lửa
06:58 - V - Việt Nam - Độc đáo ốc Ninh Hòa - Khánh Hòa,06:00 - Bạn của nhà nông -  ,08:00 - Xả xì chét - Cuộc sống mới,04:30 - Phim tài liệu - Bí quyết của những người Việt Nam thành công tại Nhật Bản - Tập 2,06:30 - Ca nhạc -  ,07:40 - Ký sự - Mật của biển - Tập 9,08:30 - Phim truyện - Nhà voi còi cuối phố - Tập 28,12:00 - Chuyện học trò - Số 10: Ước mơ nổi tiếng,10:00 - Tư vấn tiêu dùng -  ,05:30 - Chào buổi sáng Bông lúa -  ,08:50 - Thông tin tiêu dùng Giải Trí -  ,06:15 - Bật mí bí mật - Số 20,12:00 - Phim truyện - Nhịp sinh tử - Tập 28,14:00 - Phim sitcom - Nè biết gì chưa - Tập 22,12:00 - Phim truyện - Quả báo - Tập 21,07:40 - SV 2016 - SV 2016 - 28/8/2016
07:00 - Tài chính - Kinh doanh -  ,06:30 - Nhà nông vui vẻ -  ,08:10 - Biển đảo quê hương - Hỗ trợ ngư dân gặp nạn,05:00 - Phim truyện - Nguyệt thực - Tập 39,07:00 - Chương trình tiếng Vân Kiều -  ,08:00 - Khám phá thế giới - Thế giới hoang dã - Tập 4,09:10 - Thời tiết -  ,12:30 - Tiếng Anh THCS - Số 7,10:05 - Đối thoại - Bảo hiểm xã hội và quyền lợi người lao động,06:00 - Ký sự - Con đường đất nung,08:55 - Nuôi dưỡng tâm hồn - Tập 100,06:30 - Phim truyện - Hạnh phúc muộn màng số 01,13:00 - Phim truyện - Săn vàng - Tập 11,14:30 - Ẩm thực - Thực đơn đỉnh - Số 21 -  ,13:00 - Phim truyện - Nàng vali và chàng sơ mi - Tập 8,08:30 - Quà tặng cuộc sống - Câu chuyện về những đứa trẻ
07:25 - Nói không với thực phẩm bẩn -  ,06:45 - Sống khỏe mỗi ngày - Phương pháp điều trị viêm gan,08:15 - Rubic 8 -  ,05:45 - Thời tiết du lịch -  ,07:30 - Khám phá thế giới - Vạn vật trên trái đất - Tập 8,"08:30 - Phim hoạt hình - Hoàng tử Farhat và viên pha lê bò cạp - Tập 1, 2",09:15 - Khám phá thế giới - Công nghệ môi trường của Nhật Bản - Phần 2,13:30 - Thế giới diệu kỳ - Số 10,10:50 - Văn học - Nghệ thuật - Dáng vóc quê hương và nhà thiết kế trẻ,06:15 - Sáng Phương Nam -  ,09:00 - Sau ánh hào quang - Tập 8 p1,07:30 - Ca nhạc - Ẩm thực quanh ta số 04,14:00 - Phim truyện - Hot girl làm vợ - Tập 8,15:00 - Ca nhạc - VZ Playlist - Tập 22,14:00 - Phim truyện - Mặt nạ công tố viên - Tập 5,08:35 - Học viện danh hài - Học viện danh hài - Phần 1 - 13/10/2016
07:30 - Ký sự - Miệt Cù Lao - Tập 7,07:10 - Phát triển bền vững - Hiệu quả của công cụ 5S trong chế biến khí,08:30 - Phim truyện - Cung đường trắng - Tập 42,05:50 - Từ những miền quê - Bắc Sơn - Mùa hoa thơm trái ngọt,08:00 - Ca nhạc -  ,09:00 - Vui sống mỗi ngày -  ,10:00 - Toà tuyên án - Số 4,13:40 - Điều kỳ diệu của khoa học - Số 13,11:15 - Phim Sitcom - Từ quê ra thành: Trúng thưởng,07:00 - Ca nhạc - Những bản tình ca,09:25 - Thông tin tiêu dùng Giải Trí -  ,07:45 - 360 độ thời trang - Số 04,15:00 - Phim truyện - Hoàng hôn dịu dàng - Tập 49,16:00 - Chân tình bốn phương - Tập 41 - 42,15:00 - Phim truyện - Tình sâu hơn hận - Tập 93,09:25 - Học tiếng Anh qua bài hát - Girl on fire
07:45 - Khám phá Việt Nam - Vẻ đẹp đằng sau những miếng vải,07:25 - Về quê -  ,09:20 - Cuộc chiến mỹ vị - Tập 4,06:00 - Người Việt bốn phương -  ,08:30 - Sống khỏe mỗi ngày - Phòng bệnh viêm phế quản ở trẻ,09:45 - Phụ nữ Việt - Làm bạn với con,10:30 - Thể thao - Tạp chí thể thao thế giới,14:00 - Crack'em up - Số 7,11:30 - Bản tin -  ,07:30 - Cây thuốc quý quanh ta -  ,09:30 - Sau ánh hào quang - Tập 8 p2,08:30 - Mv mới - Mv,16:00 - Phim truyện - Kẻ thù phụ nữ - Tập 1,18:00 - Đội đặc nhiệm CID - Tập 22,16:00 - Phim truyện - Nàng vali và chàng sơ mi - Tập 9,09:40 - Du lịch và ẩm thực - Thạnh An - Bình yên xã đảo
08:00 - Diễn đàn Văn học nghệ thuật - Phong tặng danh hiệu nghệ nhân,07:30 - Khám phá thế giới - Thực phẩm làm đẹp da – Tập 17,10:10 - Chúng tôi là chiến sĩ -  ,06:15 - Vui sống mỗi ngày -  ,09:00 - Vui sống mỗi ngày -  ,10:00 - Sắc màu các dân tộc -  ,11:00 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,14:30 - Trường học VTV7 (Trung học) - Follow us - Số 16: Trends; Con đường nghề nghiệp - Số 6: Wedding planner,12:00 - Phim Việt Nam - Ba ơi! Mẹ có về không? - Tập 17,07:50 - Canh tác bền vững -  ,10:00 - Hạnh phúc là nhà - Tập 71,08:35 - Gameshow - Khám phá biển đảo số 60,17:00 - Phim truyện - Hãy nói về tình yêu - Tập 33,19:00 - Định luật tình yêu - Tập 22,17:00 - Phim truyện - Khi mẹ ra tay - Tập 19,10:05 - Trường học VTV7 - Trường học VTV7 (Trung học) - 22/7/2017
08:45 - Tuổi cao gương sáng - Lão nông thành phố,08:00 - Vào bếp khó gì - Canh Tom Yum và Trà sữa Thái Lan,11:00 - Sắc màu phái đẹp - Tập 12,07:00 - Cà phê sáng -  ,09:45 - Tiểu phẩm hài - Ngũ long công chúa,10:25 - Tiêu điểm y tế - Xơ hóa tủy xương,11:30 - Nào cùng phong cách - Số 78,15:00 - Trường học VTV7 (Tiểu học) - Cuốn sách của em - Số 4: 7 thói quen để trở thành; 5 từ mới tiếng Anh mỗi ngày - Số 3: Bệnh viện,12:50 - Alo8!8!8! -  ,08:05 - Phim tài liệu - Chiến tranh Việt Nam: Những cuộc đàm phán bí mật,10:55 - Thông tin tiêu dùng Giải Trí -  ,09:00 - Ca nhạc - Yeah1 on stage số 05,18:00 - Phim truyện - Nhịp sinh tử - Tập 29,20:00 - Chân tình bốn phương - Tập 43 - 44,18:00 - Phim truyện - Tình sâu hơn hận - Tập 94,10:30 - Ghế không tựa - MC Đan Lê
09:00 - Thời sự 9h -  ,08:25 - Việt Nam - Đất nước - Con người - Bắc Sơn - màu của đất,11:10 - Thông tin 260 -  ,08:00 - Bản tin tiếng Anh -  ,10:00 - Hành trình cuộc sống -  ,10:30 - Phim truyện - Hợp đồng hôn nhân - Tập 29,11:55 - Thời tiết -  ,15:30 - Trường học VTV7 (Mầm non) - Lớp học cầu vòng - Số 2: Rừng xanh,13:00 - Phim truyện - Chung một mái nhà - Tập 14,09:05 - Tám công sở -  ,11:00 - Người chồng hai mặt - Tập 15,10:00 - Phim truyện - Câu chuyện mẹ tôi số 76,19:00 - Phim truyện - Săn vàng - Tập 12,22:00 - Đội đặc nhiệm CID - Tập 22,19:00 - Phim truyện - Tình trong biển hận - Tập 53,11:00 - Cầu thủ nhí - Cầu thủ nhí – Tập 8
09:15 - Cải cách hành chính - Quảng Ninh chuyển đổi tư duy từ quản lý sang phục vụ doanh nghiệp,08:30 - KHGD Quốc phòng -  ,11:20 - Phụ nữ là số 1 - Người hùng của gia đình,08:30 - Vietnam Discovery - Một thoáng cà phê Sài Gòn,10:30 - Phim truyện - Hợp đồng hôn nhân - Tập 29,11:15 - Góc thư giãn - Ngũ long công chúa - Tập 143,12:00 - Bữa trưa vui vẻ -  ,16:00 - Chinh phục kỳ thi 2016 - Số 2: Môn Hóa Học,13:45 - Nói không với thực phẩm bẩn -  ,09:15 - Hòa điệu đất Chín Rồng - Vợ là tất cả,12:00 - Dấu thập vàng - Tập 8,11:00 - Gameshow - Bạn muốn hẹn hò số 61,20:00 - Phim truyện - Hot girl làm vợ - Tập 9,23:00 - Ca nhạc - VZ Playlist - Tập 22,20:00 - Phim truyện - Khi mẹ ra tay - Tập 20,11:45 - Phim truyện - Sống chung với mẹ chồng – Tập 26
09:30 - Quốc hội với cử tri - Sửa luật đất đai để mở đường cho tích tụ ruộng đất,09:00 - Hành trình khám phá - Văn hóa Khmer ở Trà Vinh,11:30 - Phim truyện - Cuộc chiến gia tộc - Tập 306,09:00 - Kết nối thể thao tuần -  ,"11:15 - Phim hoạt hình - Lặn đi Olly - Tập 93, 94",11:30 - Bản tin thời sự -  ,13:00 - Thể thao - Tạp chí bóng đá thế giới,17:00 - Crack'em up - Số 6,13:50 - Khám phá thế giới - Chào buổi sáng - Tập 3,10:45 - Phóng sự - Sống du cư giữa TP.HCM,12:55 - Thông tin tiêu dùng Giải Trí -  ,11:30 - Phim truyện - Tân bảng phong thần số 28,21:00 - Phim truyện - Hoàng hôn dịu dàng - Tập 50,,21:00 - Phim truyện - Nàng vali và chàng sơ mi - Tập 10,12:35 - S-Vietnam - Parkour bước nhảy đường phố
09:45 - Khám phá Việt Nam - Kỳ vĩ mũi Vi Rồng,09:15 - VTV kết nối -  ,12:00 - Phim truyện - Bố là tất cả - Tập 7,09:30 - Sinh ra từ làng - Hoàng Mạnh Lĩnh - bóc gỗ ra tiền,11:45 - Thời sự -  ,11:50 - Thông tin nông nghiệp -  ,13:30 - Chuyến đi màu xanh - Số 4,17:30 - Ú òa - Số 18,14:20 - Khám phá Việt Nam -  ,11:00 - Phim ngắn Việt Nam - Nhà nàng ở cạnh nhà tôi - Tập 16,13:00 - Hai người mẹ - Tập 33,12:30 - Phim truyện - Mỹ nữ tái sinh số 24,22:00 - Phim truyện - Kẻ thù phụ nữ - Tập 2,,22:00 - Phim truyện - Mặt nạ công tố viên - Tập 6,12:40 - Phim tài liệu - Giải cứu người di cư trên Địa Trung Hải
10:00 - Tài chính - Tiêu dùng -  ,09:30 - Khám phá thế giới - Những cuộc phiêu lưu của Jamy - Tập 5,12:50 - Vui sống mỗi ngày -  ,10:00 - Sắc màu các dân tộc - Vùng đất của những lễ hội,"12:00 - Phim truyện - Di sản thừa kế - Tập 49, 50","12:00 - Phim truyện - Di sản thừa kế - Tập 49, 50",14:00 - Phim truyện - Nữ cảnh sát tập sự - Tập 31,17:45 - Nanami và những người bạn - Số 4,14:35 - Tư vấn sức khỏe - Hemophilia - Rối loạn đông máu,11:15 - Mỗi ngày mỗi chuyện -  ,13:55 - Nuôi dưỡng tâm hồn - Tập 100,13:30 - Phim truyện - Mặt nạ thủy tinh số 52,23:00 - Phim truyện - Hãy nói về tình yêu - Tập 34,,23:00 - Phim truyện - Tình sâu hơn hận - Tập 94,13:30 - SV 2016 - SV 2016 - 28/8/2016
10:25 - Sự kiện và bình luận -  ,10:15 - Đẹp 24/7 - Giày nam 2018,13:45 - Phim truyện - Cầu vồng tình yêu - Tập 2,10:25 - Trong sáng cùng tiếng Việt -  ,13:30 - Chương trình tiếng Mông -  ,13:30 - Chương trình tiếng Khmer -  ,14:45 - Khám phá Việt Nam - Làng cổ Hùng Lô,18:00 - Phim hoạt hình - Chú robot của tôi - Tập 10,15:25 - Khát vọng Việt Nam - Họa sĩ Văn Dương Thành - Sứ giả văn hóa của Việt Nam,11:30 - Tin tức -  ,14:00 - Dối tình - Tập 6,14:30 - Mv mới -  ,,,,14:20 - Nhà cười - Nhà cười - 02/3/2017
10:55 - Cùng em đến trường - Món quà yêu thương,10:25 - Bạn của nhà nông - Sản xuất nông nghiệp bền vững,14:35 - Hào khí ngàn năm - Hoạt động buôn bán tại Vân Đồn dưới thời Trần,10:30 - Phim truyện - Nữ cảnh sát tập sự - Tập 31,14:00 - Chương trình tiếng Dao -  ,18:30 - Kết nối miền Tây -  ,15:00 - Hôm nay ai đến? - Số 5,18:30 - Trường học VTV7 (Trung học) - Follow us - Số 16: Trends; Con đường nghề nghiệp - Số 6: Wedding planner,15:40 - VTV kết nối -  ,11:50 - Cơm ấm nhà mình -  ,14:50 - Thông tin tiêu dùng Giải Trí -  ,14:35 - Gameshow - Gia đình tài tử số 60,,,,15:20 - Học viện danh hài - Học viện danh hài - 13/10/2016
11:00 - Thời sự 11h -  ,"10:50 - Hiểu đúng bệnh, chữa đúng cách - Điều trị suy tim",14:40 - Giai điệu tự hào - Tình yêu mãi mãi,11:15 - Tinh hoa nghề Việt -  ,14:30 - Chương trình tiếng Thái -  ,18:55 - Bản tin thể thao -  ,15:30 - Chinh phục - Số 14,19:00 - Trường học VTV7 (Tiểu học) - Cuốn sách của em - Số 4: 7 thói quen để trở thành; 5 từ mới tiếng Anh mỗi ngày - Số 3: Bệnh viện,15:45 - Quốc phòng toàn dân -  ,12:00 - Phim truyện - Bước tới hạnh phúc - Tập 20,15:00 - Hạnh phúc là nhà - Tập 71,15:00 - Ca nhạc - Ẩm thực quanh ta số 04,,,,16:10 - Gặp nhau để cười - Thắp lửa
11:15 - Chuyển động 24h -  ,11:05 - Nhịp sống Công nghệ -  ,16:45 - Mỗi ngày một niềm vui -  ,11:30 - Giai điệu cuộc sống - Tình yêu gọi em,"15:00 - Phim hoạt hình - 12 con giáp - Tập 59, 60","19:00 - Phim truyện - Tôi thuê một người tình - Tập 17, 18",16:15 - Khám phá - Cầu Nhật Tân - Tập 2,19:30 - Trường học VTV7 (Mầm non) - Lớp học cầu vòng - Số 2: Rừng xanh,16:00 - Bản tin -  ,12:55 - Chuyện gia đình vàng -  ,15:40 - Thông tin tiêu dùng Giải Trí -  ,15:30 - 360 độ thời trang - Số 04,,,,16:20 - Muôn màu Showbiz - Muôn màu Showbiz - 23/7/2017
12:00 - Thời sự 12h -  ,11:20 - Khôn lớn mỗi ngày - Nhận biết đồ ăn có độc trong rừng,16:58 - Thời tiết -  ,12:00 - Bản tin tiếng Việt 12h -  ,15:30 - Hành trình di sản - Khát vọng Krong Put,20:30 - Góc thư giãn - Ngũ long công chúa - Tập 143,16:30 - Khám phá thế giới - Thế giới hoang dã - Phần 3: Loài rắn,20:00 - Học cùng con - Số 17: Cách tạo ra màu sắc,16:15 - Phim tài liệu - Câu chuyện tình yêu,13:00 - Phim truyện - Tuổi thanh xuân của Băng và Lửa - Tập 5,15:45 - Sao thế giới - Tập 134,16:00 - Mv mới - Mv,,,,17:05 - Nấu nướng thật là vui - Sinh tố dâu tây socola
12:40 - Tài chính - Kinh doanh -  ,11:22 - Vui khỏe 24/7 - Ăn nội tạng động vật có ảnh hưởng đến sức khỏe?,17:00 - Thông tin 260 -  ,12:30 - Văn học nghệ thuật - Người giữ bóng xưa,16:00 - Cựu chiến binh - Chung tay chung sức,20:50 - Ký sự - Mật của biển - Tập 10,17:00 - Thể thao - Tạp chí bóng đá thế giới,20:15 - Ú òa -  ,16:40 - Phóng sự - Đá quý và hệ lụy tour không đồng,13:50 - Gặp nhau để cười -  ,16:10 - Thông tin tiêu dùng Giải Trí -  ,16:30 - Filler show - Chuyện gia đình vàng số 19,,,,17:15 - Phim truyện - Sống chung với mẹ chồng – Tập 26
13:00 - Hành trình 24h -  ,11:30 - Phim truyện - Trâm hoa mai - Tập 42,17:10 - Cái lý - Cái tình - Số 03,13:00 - Ký sự - Văn hóa Hạ Long,16:30 - Ca nhạc -  ,21:10 - Dân tộc phát triển -  ,17:30 - Phim hoạt hình - Chú sóc vui nhộn - Tập 42,20:30 - Bay lên những ước mơ -  ,16:55 - Tư vấn tiêu dùng -  ,14:00 - Phim truyện - Cao hơn bầu trời - Tập 48,16:15 - Người chồng hai mặt - Tập 16,16:45 - Bật mí bí mật - Số 20,,,,18:00 - Học tiếng Anh qua bài hát - Girl on fire
