VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV5 Tây Nguyên,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab2 - PhimViet,VTVCab6 - HayTV,VTVCab7 - D Dramas,VTVCab8 - BiBi
04:00 - Thời sự 4h -  ,04:30 - Khám phá thế giới - Hồi sinh nghề thủ công truyền thống - Tập 2,07:00 - Cà phê sáng -  ,04:30 - Cảm ơn cuộc đời - Sống cuộc đời mà số phận đã cho,05:30 - Chương trình tiếng Mông -  ,05:30 - Chương trình tiếng Khmer -  ,06:00 - Chương trình tiếng Cơ Ho -  ,06:00 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,10:30 - Trường học VTV7 (Trung học) - Follow us - Số 17: Love; Con đường nghề nghiệp - Số 27: Chăm sóc sắc đẹp,08:15 - Ca nhạc - Biển ru,03:10 - Nhìn ra thế giới - Hồ sơ chưa giải mã,06:30 - Khám phá Malaysia cùng Martin Yan Phần 2 - Tập 8,09:00 - Phim truyện - Sóng gió gia đình  - Tập 33,10:00 - Nghịch cảnh - Tập 03,10:00 - Phim truyện - Cẩm tú duyên - Tập 16,10:30 - Phim hoạt hình - Messy hay thắc mắc  - Tập 18
04:10 - Khám phá thế giới - Những công việc của người Nhật Bản - Phần 5: Nhân viên bán hàng,05:00 - Cùng bạn chữa bệnh - Những triệu chứng của bệnh tim và cách điều trị,07:55 - Mỗi ngày một niềm vui -  ,04:45 - Tác phẩm mới - Những tháng ngày dài,06:00 - Chương trình tiếng Dao -  ,07:35 - Thông tin nông nghiệp -  ,06:30 - Chương trình  tiếng Gia Rai -  ,06:30 - Phim hoạt hình - Ba chiến binh nhí - Tập 23,11:00 - Học cùng con - Số 20: Những viên đá kỳ diệu,08:45 - Chuyện biển chuyện người - Làng biển nặng ơn Người,03:55 - Làng cười cười cả làng -  ,07:00 - Ánh sao tỏa sáng - Tập 47,10:00 - Phim truyện - Hoàng hôn dịu dàng  - Tập 15,11:00 - Chân tình bốn phương - Tập 273 - 274,11:00 - Phim truyện - Con riêng của mẹ - Tập 3,11:00 - Phim hoạt hình - Ninja nhí hàng động  - Tập 9
05:10 - Chuyện nhà nông với nông nghiệp - Đổi thay từ nông nghiệp 4.0,06:00 - Bạn của nhà nông -  ,07:58 - Thời tiết -  ,05:00 - Phim truyện - Ranh giới thiện ác - Tập 3,06:30 - Ca nhạc -  ,07:40 - Chuyện xưa tích cũ - 1050 năm nhà nước Đại Cồ Việt - Tập 1,07:00 - Chương trình  tiếng Chăm -  ,07:00 - Thể thao - Vòng 9 Giải bóng đá VĐQG 2018: SHB Đà Nẵng - B.Bình Dương,11:15 - Ideo - Số 8: Gia đình,09:00 - Bản tin -  ,04:10 - Nhan sắc mới - Khởi đầu mới -  ,08:00 - Ánh sao tỏa sáng - Tập 48,11:00 - Phim truyện - Ranh giới mong manh  - Tập 11,13:00 - Đội đặc nhiệm CID - Tập 137,12:00 - Phim truyện - Nhà tôi là nhất - Tập 61,11:30 - Phim hoạt hình - Bí ẩn đại dương sâu thẳm  - Tập 19
05:25 - Chào buổi sáng -  ,"06:45 - Hãy chia sẻ cùng chúng tôi - Gàu, ngứa, rụng tóc - Vòng luẩn quẩn tàn phá mái tóc",08:00 - Vui - khoẻ - có ích -  ,05:45 - Thời tiết du lịch -  ,07:00 - Chương trình tiếng Thái -  ,08:00 - Khám phá thế giới - Những thiết kế ấn tượng - Tập 6,07:30 - Ký sự - Việt Nam trong tôi - Tập 03,08:30 - Phim truyện - Giao mùa - Tập 33,11:30 - Lăng kính tự nhiên - Số 14,09:15 - Đối thoại - Bảo tồn tài nguyên biển,04:30 - Thẩm mỹ văn minh -  ,08:50 - Thông tin tiêu dùng Giải Trí -  ,12:00 - Phim truyện - Tình là dây oan  - Tập 32,14:00 - Phim sitcom - Nè biết gì chưa - Tập 210,13:00 - Phim truyện - Hoa trong ngục - Tập 26,12:00 - Phim hoạt hình - Huyền thoại một anh hùng  - Tập 23
06:58 - V - Việt Nam - Cù lao hình hạt gạo Thốt Nốt - Cần Thơ,07:15 - Chuyến xe buýt kỳ thú - Biển trời Phan Thiết,08:50 - Vẻ đẹp phụ nữ Á Đông -  ,06:00 - Người Việt bốn phương -  ,07:30 - Khám phá thế giới - Leonado - thiên tài - Phần 1,08:30 - Vầng trăng của em -  ,07:45 - Sản vật phương Nam - Khăn rằn Nam Bộ,09:10 - Thời tiết -  ,11:45 - Cùng tỏa sáng - Số 14,10:05 - Tư vấn tiêu dùng -  ,04:40 - Bí mật món ngon -  ,09:00 - Sao và sự kiện - Tập 308,13:00 - Phim truyện - Vòng vây hoa hồng  - Tập 29,14:30 - Nghề xưa còn lại - Số 02,14:00 - Phim truyện - Đốn tim dị nhân - Tập 11,12:30 - Ngôi sao Bibi - Số 26
07:00 - Trang địa phương -  ,08:00 - Những mảnh ghép của cuộc sống - Một thuở bình minh - Tập 3,09:00 - Văn hóa - Sự kiện và Nhân vật -  ,06:15 - Đường lên đỉnh Olympia -  ,08:15 - Ca nhạc -  ,09:00 - Bố ơi! Mình đi đâu thế? -  ,08:00 - Sống khỏe mỗi ngày - Giải pháp cho bệnh đại tràng,09:15 - Khám phá thế giới - Hồ sơ chưa giải mã - Tập 7,12:00 - Phim hoạt hình - Tayo xe buýt bé nhỏ - Tập 39,10:15 - Chuyến xe buýt kỳ thú - Trên thành phố trẻ Phủ Lý,05:00 - Ca nhạc -  ,09:30 - Khám phá Malaysia cùng Martin Yan Phần 2 - Tập 8,14:00 - Phim truyện - Ba ơi! Mẹ có về không?  - Tập 35,15:00 - Nghịch cảnh - Tập 03,15:00 - Phim truyện - Kẻ phụ tình - Tập 2,13:00 - Phim hoạt hình - Pokemon  - Phần 1  - Tập 51
07:30 - Ký sự - Chuyện hẻm - Tập 6,08:30 - An ninh và Cuộc sống -  ,09:50 - Cẩm nang vàng cho sức khỏe -  ,07:00 - Cà phê sáng - Cà phê sáng,08:30 - Danh nhân đất Việt - Vị đốc học tay bút tay gươm,"10:00 - Từ biên cương đến hải đảo - Xứng danh ""Bộ đội Cụ Hồ""",08:30 - Ca nhạc -  ,10:00 - Toà tuyên án - Số 19,12:10 - Phim hoạt hình - Tayo xe buýt bé nhỏ - Tập 40,11:00 - VTV kết nối -  ,05:30 - Chào buổi sáng Bông lúa -  ,10:00 - Ca sĩ bí ẩn - Tập 3,15:00 - Phim truyện - Sóng gió gia đình  - Tập 34,16:00 - Chân tình bốn phương - Tập 273 - 274,16:00 - Phim truyện - Hoa trong ngục - Tập 27,13:30 - Phim hoạt hình - Sam siêu đẳng  - Tập 45
"07:50 - Truyền hình trực tiếp - Quốc hội thảo luận về kinh tế - xã hội, quyết toán ngân sách Nhà nước",09:00 - Kinh doanh và pháp luật - CPTPP - Cơ hội nào cho nông sản Việt?,10:00 - Biệt tài tí hon -  ,08:00 - Bản tin tiếng Anh -  ,09:00 - Bố ơi! Mình đi đâu thế? -  ,10:30 - Phim truyện - Tuổi thanh xuân – Phần 2 - Tập 11,09:00 - Khám phá thế giới - Hành tinh trái đất - Tập 05,10:30 - Thể thao - Những bà mẹ trong thể thao,12:30 - Toán học diệu kỳ - Số 1,11:10 - Trái tim cho em - Cuộc sống sau mổ của Bảo An,06:00 - Dạo quanh thị trường -  ,10:55 - Thông tin tiêu dùng Giải Trí -  ,16:00 - Phim truyện - Hoàng hôn dịu dàng  - Tập 16,18:00 - Đội đặc nhiệm CID - Tập 138,17:00 - Phim truyện - Con riêng của mẹ - Tập 4,14:00 - Phim hoạt hình - Bí ẩn đại dương sâu thẳm  - Tập 20
09:30 - Thời sự 9h30 -  ,09:25 - Sống vui - Trị chứng ra mồ hôi nách mùa nắng nóng - Phần 1,10:45 - Nét xanh trong kiến trúc nay - Số 10 - Ứng dụng vật liệu tre trong kiến trúc nhà ở,08:30 - Culture Mosaic -  ,10:00 - Góc thư giãn - Phố trọ Luxubu,11:15 - Góc thư giãn - Phố trọ lu xu bu - Tập 3,"09:45 - Nẻo về nguồn cội - Đàn Goong và K’Ni, bộ đôi kể chuyện",11:00 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,12:50 - Điều kỳ diệu của khoa học - Số 1,11:15 - Phim Sitcom - Oan gia bùm chéo: Hòa giải bất thành,06:15 - Sáng Phương Nam -  ,11:00 - Chuyện khó đỡ - Tập 94,17:00 - Phim truyện - Ranh giới mong manh  - Tập 12,19:00 - Nghịch cảnh - Tập 04,18:00 - Phim truyện - Kẻ phụ tình - Tập 3,14:30 - Phim hoạt hình - Ninja nhí hàng động  - Tập 10
"09:50 - Truyền hình trực tiếp - Quốc hội thảo luận về kinh tế - xã hội, quyết toán ngân sách Nhà nước",09:30 - Sống khỏe mỗi ngày - Hiểu đúng về bệnh đái tháo đường,11:00 - Về quê -  ,09:00 - Núi sông bờ cõi - Bảo tồn dân tộc Rục Quảng Bình,10:15 - Hành trình khám phá - Khám phá chùa Hà Tiên,11:30 - Bản tin thời sự -  ,"10:00 - Đi đâu, ăn gì - Đến với thành phố Hồ Chí Minh",11:30 - Nào cùng phong cách - Số 128,13:00 - Bóng bóng và 7 câu hỏi địa lý - Số 25: Nông lâm ngư,11:30 - Bản tin -  ,07:00 - Ca nhạc - Không thể chia xa,12:00 - Chờ em nơi phi trường - Tập 3,18:00 - Phim truyện - Tình là dây oan  - Tập 33,20:00 - Chân tình bốn phương - Tập 275 - 276,19:00 - Phim truyện - Cẩm tú duyên - Tập 17,15:00 - Ngôi sao Bibi - Số 1
11:30 - Chuyển động 24h -  ,10:15 - Cho ngày hoàn hảo - Đàn ông sau kết hôn,11:10 - Thư giãn cuối tuần -  ,09:30 - Thế giới tuổi thơ - Vầng trăng của em,10:30 - Phim truyện - Đường lên Điện Biên - Tập 16,11:50 - Thông tin nông nghiệp -  ,10:30 - Phim truyện - Nguyệt thực - Tập 31,11:55 - Thời tiết -  ,13:15 - Math Dorm - Số 6: Phép chia,12:00 - Phim Việt Nam - Hoa cúc trắng - Tập 25,07:30 - Về đất phương Nam - Về đất Tây Đô,12:55 - Thông tin tiêu dùng Giải Trí -  ,19:00 - Phim truyện - Vòng vây hoa hồng  - Tập 30,22:00 - Đội đặc nhiệm CID - Tập 138,20:00 - Phim truyện - Con riêng của mẹ - Tập 5,15:30 - Phim hoạt hình - Coconut - Chú rồng tinh nghịch  - Tập 14
12:00 - Thời sự 12h -  ,11:00 - Nhịp sống Công nghệ -  ,11:45 - Gia đình vui vẻ - Nỗi đau còn đó,10:00 - Sân khấu - Vở chèo: Kỳ nữ Hải Đông,11:15 - Chương trình thiếu nhi - Vầng trăng của em,"12:00 - Phim truyện - Chhan Chhan xinh đẹp - Tập 41, 42","11:15 - Phim hoạt hình - T.Pang Rescue Titi & điệp vụ giải cứu trái đất - Tập 03, 04",12:00 - Bữa trưa vui vẻ -  ,13:30 - Edu Talk - Số 18,12:50 - Alo8!8!8! -  ,07:50 - Việt Nam Logistics - Bài toán nhân lực cho ngành logistics,13:00 - Khám phá Malaysia cùng Martin Yan Phần 2 - Tập 8,20:00 - Phim truyện - Nhà trọ có 4 cô chiêu  - Tập 1,23:00 - Ca nhạc - VZ Playlist - Tập 103,21:00 - Phim truyện - Hoa trong ngục - Tập 28,16:00 - Phim hoạt hình - Lucas & Emily  - Tập 11
12:30 - Cặp lá yêu thương -  ,11:15 - Tôi là người đồng hành - Anh thợ sửa xe ưa làm chuyện bao đồng,12:00 - Bố ơi! Mình đi đâu thế? -  ,11:30 - Sắc màu các dân tộc - Nơi ấy ghi mãi tên Người,11:45 - Thời sự -  ,13:30 - Chương trình tiếng Khmer -  ,11:45 - Thời sự -  ,13:00 - Thể thao - Tạp chí thể thao thế giới,14:15 - Đường đến trường - Trong cơn bão,13:00 - Phim truyện - Nỗi lòng mẹ kế - Tập 2,08:10 - Ca nhạc - Vỗ về giấc mơ,13:30 - Sao và sự kiện - Tập 308,21:00 - Phim truyện - Yêu thuê  - Tập 1,,22:00 - Phim truyện - Đốn tim dị nhân  - Tập 12,16:30 - Phim hoạt hình - Messy hay thắc mắc  - Tập 19
12:35 - Tọa đàm nông nghiệp sạch -  ,11:30 - Phim truyện - Hãy nắm tay anh - Tập 69,13:00 - Hãy chọn giá đúng -  ,12:00 - Bản tin tiếng Việt 12h -  ,11:55 - Bản tin thể thao -  ,18:30 - Kết nối miền Tây -  ,"12:00 - Phim truyện - Một thời con gái - Tập 97, 98",13:30 - Chúng ta là một gia đình -  ,14:30 - Trường học VTV7 (Trung học) - Follow us - Số 17: Love; Con đường nghề nghiệp - Số 27: Chăm sóc sắc đẹp,13:50 - Khám phá thế giới - Những bí ẩn của xe hơi - Tập 13,"08:40 - Từ biên cương đến hải đảo - Xứng danh ""Bộ đội cụ Hồ""",14:00 - Tình sâu hơn hận - Tập 68,22:00 - Phim truyện - Hoàng hôn dịu dàng  - Tập 17,,23:00 - Phim truyện - Kẻ phụ tình - Tập 3,17:00 - Phim hoạt hình - Biệt đội siêu khủng long 52T - Tập 13
13:00 - Y tế 24h -  ,12:15 - Bốn mùa yêu thương - Khi con nói dối,13:50 - Cùng em đến trường -  ,12:30 - Điều ước thứ 7 -  ,"12:00 - Phim truyện - Cuộc sống rực rỡ - Tập 33, 34",18:55 - Bản tin thể thao -  ,13:30 - Chương trình tiếng Gié Triêng -  ,14:00 - Phim truyện - Giao mùa - Tập 35,15:00 - Trường học VTV7 (Tiểu học) - Sáng tạo 102 - Số 12: Tranh chất liệu; Học cùng con - Số 13: Dinh dưỡng,14:15 - Phim truyện - Công chúa nhỏ,09:00 - Phim tài liệu - Bầu trời và mặt đất,14:50 - Thông tin tiêu dùng Giải Trí -  ,23:00 - Phim truyện - Ranh giới mong manh  - Tập 13,,,17:30 - Phim hoạt hình - Ninja nhí hành động  - Tập 15
13:10 - Phim truyện - Thế lực cạnh tranh - Tập 10,12:45 - Kiến thức cộng đồng - Khuyến công hỗ trợ nghề mộc dân dụng ở Hà Tĩnh,14:00 - Phim truyện - Nếu còn có ngày mai - Tập 23,13:15 - Phim truyện - Ranh giới thiện ác - Tập 3,13:30 - Chương trình tiếng Mông -  ,"19:00 - Phim truyện - Ngày vinh quang của tôi - Tập 11, 12",14:00 - Chương trình tiếng Ê Đê -  ,14:45 - Khám phá Việt Nam - Khu di tích lịch sử cụ phó bảng Nguyễn Sinh Sắc,15:30 - Trường học VTV7 (Mầm non) - Lớp học cầu vồng - Số 4: Rừng xanh,15:45 - Bước chân khám phá - Một ngày làm sơn nữ,09:30 - Xe và phong cách -  ,15:00 - Sao thế giới - Tập 149,,,,18:00 - Ngôi sao Bibi - Số 3
14:00 - Ký sự - Ký ức miền Tây: Rau muống đồng,13:15 - Nhắn tìm đồng đội -  ,14:50 - Rubic 8 -  ,14:00 - Tác phẩm mới - Những tháng ngày dài,14:00 - Chương trình tiếng Dao -  ,20:30 - Góc thư giãn - Phố trọ lu xu bu - Tập 3,14:30 - Chương trình tiếng Gia Rai -  ,15:00 - Hôm nay ai đến? - Số 39,16:00 - Chinh phục kỳ thi 2018 - Số 28,16:00 - Bản tin -  ,09:45 - Tinh hoa nghề Việt - Chè Việt từ truyền thống đến hiện đại,15:45 - Nhanh như chớp - Tập 7,,,,18:30 - Phim hoạt hình - Bí mật cơn lốc Ninjago  - Phần 8  - Tập 4
14:15 - Cất cánh -  ,13:30 - Đi đâu ? ăn gì ? - Những điểm đến thú vị ở Bình Dương,15:10 - Tiền khéo tiền khôn -  ,14:15 - Như chưa hề có cuộc chia ly... -  ,14:30 - Chương trình tiếng Tày -  ,20:45 - Phóng sự - Đâu chỉ là xuất khẩu,15:00 - Chương trình tiếng Chăm -  ,15:30 - Thứ sáu để yêu -  ,17:00 - Crack'em up - Số 11,16:15 - Trái tim cho em - Cuộc sống sau mổ của Bảo An,10:00 - Bay bổng Phương Nam - Một miền quê sông nước,16:50 - Thông tin tiêu dùng Giải Trí -  ,,,,19:00 - Phim hoạt hình - Pony bé nhỏ-tình bạn diệu kỳ  - Phần 6  - Tập 17
15:00 - Văn hoá công an nhân dân - Những người gìn giữ di sản cố đô,14:00 - Bạn của nhà nông - Nuôi tôm hùm trên cạn - Giải pháp phát triển bền vững,16:00 - Biển đảo quê hương - Ngư dân ven biển Đài Xuyên,15:00 - Bản tin tiếng Anh -  ,"15:00 - Phim hoạt hình - Winner và cậu bé vàng - Tập 5, 6",21:00 - Văn học nghệ thuật - Soạn giả với những cung đàn,15:30 - Đường lên đỉnh Olympia -  ,16:00 - Khám phá thế giới - 20 tác phẩm nghệ thuật của tự nhiên - Tập 15,17:30 - Ú òa - Số 15,16:20 - Tác phẩm mới - Trường Sa miền nhớ thương,10:15 - Dân ca nhạc cổ - Lời tự tình mùa hạ,17:00 - Ánh sao tỏa sáng - Tập 49,,,,19:30 - Phim hoạt hình - Sam siêu đẳng  - Tập 47
15:30 - Quốc gia khởi nghiệp -  ,14:30 - Khám phá thế giới - Hồi sinh nghề thủ công truyền thống - Tập 4,"16:10 - Chất lượng cuộc sống - Bệnh thần kinh , hiểu đúng để điều trị hiệu quả",15:30 - Ký sự - Con đường đất nung - Tập 5,15:30 - Ký sự - Miệt vườn Cù Lao - Tập 4,21:30 - Phụ nữ Việt - Sự kỳ vọng của người mẹ,16:15 - Góc thư giãn - Phố trọ luxubu,16:30 - Truyền hình trực tiếp - Vòng 9 Giải bóng đá VĐQG 2018: HAGL - SLNA,17:45 - Bộ đội vui nhộn - Số 2,16:35 - Phim hoạt hình - Chú sóc vui nhộn - Tập 11,10:45 - Phóng sự - Hiệp sỹ đường phố - Cần thiết một cơ chế quản lý,18:00 - Ánh sao tỏa sáng - Tập 50,,,,20:00 - Phim hoạt hình - Huyền thoại một anh hùng  - Tập 24
16:00 - Thời sự 16h -  ,14:50 - Phóng sự - Liliang - Thác nước mang tên người anh hùng,16:58 - Thời tiết -  ,15:55 - Trong sáng cùng tiếng Việt - Số 4,15:45 - Phát triển bền vững - Nâng cao năng suất chất lượng ngành in,21:45 - Thanh âm Việt - Sắc màu non nước Cao Bằng,16:30 - Ca nhạc -  ,18:55 - Thời tiết -  ,17:55 - Hè vui khỏe - Số 3,17:00 - Phim truyện - Tử thần ngọt ngào - Tập 29,11:00 - Chuyện bác Ba Phi - Xưa và nay - Bắt heo rừng,18:30 - Sao và sự kiện - Tập 309,,,,20:30 - Phim hoạt hình - Ggo football_Người hùng sân cỏ  - Tập 36
